X,Y,Z,run_time,distance,delta,axis1,axis2,axis3,axis4,axis5,axis6
0.228132184,0.324517329,0.536073981,1.422709942,0.489015568,285.8687199,54.87692965,-46.57702859,40.36101159,-0.346863045,96.12022299,-144.874374
-0.069619061,0.096779894,0.730346352,1.401612759,0.242493003,443.5824615,125.7703094,20.88522451,5.512207527,0.223461966,63.61551439,144.2327371
-0.134890209,0.190383688,0.591504428,1.396499872,0.405163469,484.2472466,125.2983448,1.592308395,-13.27231074,-0.266483526,101.6542444,144.7027193
-0.241608533,0.338101922,0.454249835,1.392785549,0.63209651,497.4281708,125.5365856,-56.76698556,38.48722905,-0.344175718,108.1621609,144.4600398
0.257255446,0.343360042,0.415370043,1.386928082,0.58556037,310.6498243,53.17158625,-65.75759824,45.6055974,0.369658546,110.0286505,-143.1739509
-0.107412992,0.148849114,0.724910928,1.386518955,0.30462975,423.6858743,125.8459993,6.482064433,15.46236082,0.261057504,68.03825699,144.1534352
-0.229185632,0.31935452,0.509505628,1.385534286,0.583552983,487.6297189,125.6502483,-45.54344701,32.17220652,-0.345012813,103.2660643,144.3517008
-0.175359291,0.237689618,0.720830585,1.383271456,0.413510917,426.2897731,126.4409253,-29.64268784,60.57622648,0.304037922,58.99587026,143.559147
0.223936364,0.305164229,0.62335229,1.382554293,0.428393785,272.1221661,53.70830096,-47.6145824,63.93298456,-0.345611368,73.57581439,-143.7047972
-0.045999918,0.064916885,0.716062076,1.381805658,0.211982814,463.5957951,125.2633639,31.66383564,-4.658153538,-0.211822738,63.02096074,144.7299009
0.157257663,0.217346821,0.554929206,1.381390095,0.38065227,311.2233288,54.12909199,-8.656748272,-10.82954598,0.278418734,109.4465681,-144.1289785
0.193784977,0.274587509,0.647395509,1.380074978,0.383538688,251.7317206,54.76803938,-29.87074301,40.60941457,-0.321119374,79.1767773,-144.7701429
-0.132869588,0.18557524,0.776614358,1.379271269,0.338443084,413.5985857,125.5818771,-23.49039079,69.9358761,-0.228809667,43.49481742,144.4156003
0.088786782,0.123668971,0.739514238,1.378688574,0.196390228,235.9104911,54.29108517,11.87744336,14.86722178,-0.23003984,63.25913707,-144.2833888
-0.053115723,0.075587462,0.82467347,1.378438711,0.203461616,380.2356021,125.0696526,1.350839799,57.20967603,-0.133589808,31.4389793,144.928832
-0.064961671,0.091996739,0.815743268,1.378226757,0.222777514,371.5368703,125.2011145,0.813227712,52.8664062,-0.15287683,36.30900898,144.7936128
-0.165094204,0.226885492,0.585856947,1.37767148,0.448576876,483.8854346,126.0234671,-10.76400283,-0.740488119,-0.292325259,101.4464991,143.9732
-0.085355521,0.120272174,0.809393508,1.376561642,0.25696243,383.4687533,125.3389779,-6.752383266,58.82117347,-0.181094585,37.91181849,144.6557562
-0.146247948,0.203011618,0.73324899,1.376219034,0.366684898,407.2215565,125.7934318,-13.91089817,40.89986666,0.284751389,62.96181834,144.2054072
-0.176327664,0.250496038,0.697661078,1.376170397,0.42887202,420.9921802,125.1644266,-26.99556611,49.55682441,0.312446831,67.35948012,144.8325578
